entry,exit
35.66,35.48
35.65,35.58
35.58,35.48
35.59,35.48
35.48,35.38
35.42,35.36
35.38,35.3
35.36,35.42
35.36,35.42
35.38,35.3
35.42,35.35
35.35,35.3
35.3,35.23
35.32,35.23
35.23,35.29
35.26,35.29
35.29,35.37
35.3,35.37
35.37,35.29
35.29,35.24
35.24,35.2
35.23,35.2
35.2,35.13
35.13,35.09
35.13,35.09
35.09,35.04
35.09,35.04
35.04,34.97
35.02,34.97
34.97,35.02
35.02,34.98
34.98,35.05
35.05,35.08
35.08,35.15
35.15,35.21
35.16,35.21
35.21,35.25
35.25,35.3
35.26,35.24
35.26,35.24
35.24,35.3
35.24,35.3
35.3,35.27
35.27,35.3
35.26,35.3
35.3,35.28
35.3,35.28
35.28,35.26
35.26,35.29
35.27,35.29
35.29,35.26
35.26,35.29
35.29,35.26
35.26,35.23
35.23,35.21
35.22,35.2
35.21,35.18
35.2,35.18
35.18,35.16
35.16,35.23
35.17,35.23
35.23,35.19
35.19,35.22
35.22,35.19
35.23,35.19
35.22,35.19
35.21,35.17
35.22,35.19
35.21,35.17
35.21,35.23
35.23,35.21
35.22,35.19
35.21,35.19
35.19,35.12
35.2,35.12
35.2,35.17
35.17,35.12
35.19,35.12
35.2,35.12
35.18,35.12
35.12,35.08
35.11,35.14
35.12,35.14
35.12,35.14
35.14,35.12
35.13,35.08
35.12,35.08
35.08,35.13
35.08,35.13
35.08,35.13
35.09,35.13
35.13,35.09
35.09,35.07
35.09,35.07
35.07,35.03
35.07,35.03
35.03,35.05
35.05,35.03
35.06,35.03
35.05,35.03
35.03,35.05
35.05,35.07
35.07,35.04
35.07,35.04
35.06,35.04
35.07,35.04
35.06,35.04
35.04,35.02
35.045,35.03
35.03,35.0
35.03,35.02
35.02,35.0
35.0,35.02
35.02,35.0
35.01,35.025
35.01,35.025
35.02,35.0
35.0,35.025
35.025,35.0
35.025,35.01
35.01,35.03
35.03,35.0
35.03,35.0
35.0,35.02
35.0,35.02
35.01,35.02
35.02,34.98
34.98,35.0
34.98,35.01
35.0,35.02
34.99,35.01
35.0,35.02
35.01,34.99
35.0,35.02
34.99,35.02
34.99,35.02
35.0,35.02
35.02,35.005
35.005,35.02
35.005,35.02
35.01,35.03
35.01,35.03
35.01,35.02
35.02,35.04
35.02,35.04
35.02,35.04
35.02,35.04
35.02,35.04
35.02,35.03
35.03,35.04
35.03,35.04
35.04,35.06
35.04,35.06
35.03,35.06
35.04,35.06
35.06,35.03
35.03,35.01
35.01,35.03
35.01,35.03
35.01,35.03
35.01,35.02
35.02,35.03
35.03,34.99
35.02,34.99
35.02,34.99
34.99,34.96
34.96,34.98
34.98,35.0
34.99,34.96
35.0,34.96
34.96,34.93
34.96,34.93
34.93,34.95
34.94,34.92
34.95,34.93
34.94,34.92
34.93,34.94
34.94,34.93
34.93,34.89
34.92,34.89
34.89,34.92
34.92,34.89
34.89,34.86
34.88,34.86
34.88,34.86
34.86,34.83
34.83,34.85
34.85,34.83
34.85,34.83
34.83,34.87
34.82,34.87
34.87,34.85
34.88,34.86
34.87,34.86
34.87,34.85
34.87,34.86
34.86,34.85
34.85,34.87
34.87,34.84
34.86,34.84
34.86,34.84
34.86,34.87
34.855,34.87
34.855,34.855
34.855,34.86
34.86,34.87
34.87,34.85
34.86,34.84
34.85,34.83
34.85,34.83
34.86,34.84
34.85,34.83
34.84,34.86
34.85,34.83
34.86,34.83
34.83,34.87
34.87,34.89
34.89,34.86
34.9,34.88
34.89,34.86
34.89,34.86
34.88,34.96
34.86,34.88
34.88,34.96
34.96,34.92
34.935,35.0
34.92,35.0
34.95,35.06
35.0,35.06
35.0,35.06
35.06,35.005
35.06,35.005
35.05,35.005
35.04,35.005
35.005,34.98
35.02,34.98
34.98,34.93
34.93,34.97
34.97,34.93
34.93,34.98
34.94,34.98
34.95,35.0
34.98,35.03
34.97,35.0
35.0,35.03
35.03,35.06
35.04,35.02
35.04,35.02
35.03,35.02
35.02,35.05
35.02,35.05
35.05,35.03
35.03,35.05
35.05,35.09
35.05,35.09
35.06,35.04
35.04,35.05
35.05,35.09
35.09,35.07
35.08,35.05
35.08,35.05
35.07,35.05
35.08,35.05
35.05,35.06
35.06,35.04
35.07,35.05
35.07,35.05
35.05,35.01
35.05,35.01
35.04,35.01
35.01,34.98
35.02,34.98
34.98,34.92
34.97,34.92
34.92,34.86
34.93,34.86
34.86,34.88
34.87,34.93
34.88,34.93
34.93,34.97
34.97,34.95
34.98,34.96
34.96,34.95
34.95,34.89
34.955,34.93
34.94,34.89
34.93,34.89
34.93,34.89
34.89,34.95
34.95,34.93
34.93,34.89
34.93,34.89
34.91,34.93
34.93,34.91
34.91,34.89
34.91,34.89
34.91,34.89
34.91,34.89
34.91,34.89
34.89,34.91
34.91,34.89
34.92,34.89
34.91,34.89
34.91,34.89
34.91,34.89
34.91,34.89
34.91,34.89
34.89,34.87
34.88,34.85
34.87,34.85
34.85,34.88
34.84,34.86
34.86,34.89
34.88,34.84
34.87,34.84
34.84,34.86
34.86,34.88
34.87,34.89
34.875,34.89
34.88,34.89
34.89,34.88
34.88,34.86
34.875,34.85
34.87,34.89
34.88,34.89
34.89,34.87
34.87,34.85
34.87,34.85
34.88,34.86
34.86,34.88
34.87,34.85
34.86,34.88
34.88,34.85
34.88,34.85
34.85,34.81
34.87,34.85
34.85,34.81
34.86,34.84
34.86,34.84
34.85,34.84
34.85,34.87
34.84,34.87
34.85,34.87
34.85,34.87
34.87,34.84
34.84,34.81
34.81,34.87
34.85,34.81
34.82,34.85
34.81,34.85
34.81,34.85
34.85,34.81
34.83,34.8
34.81,34.85
34.82,34.86
34.83,34.81
34.83,34.81
34.81,34.85
34.82,34.8
34.8,34.85
34.81,34.85
34.81,34.85
34.81,34.85
34.85,34.83
34.83,34.85
34.83,34.85
34.84,34.86
34.85,34.87
34.86,34.83
34.85,34.87
34.87,34.85
34.86,34.84
34.85,34.81
34.84,34.86
34.86,34.85
34.85,34.83
34.83,34.81
34.81,34.86
34.83,34.86
34.86,34.82
34.84,34.81
34.84,34.82
34.85,34.83
34.85,34.83
34.85,34.84
34.85,34.83
34.82,34.84
34.84,34.86
34.845,34.86
34.86,34.84
34.84,34.82
34.84,34.82
34.82,34.84
34.81,34.84
34.81,34.84
34.84,34.82
34.82,34.8
34.81,34.85
34.8,34.85
34.85,34.83
34.84,34.81
34.84,34.81
34.83,34.81
34.81,34.79
34.79,34.84
34.84,34.82
34.83,34.8
34.82,34.8
34.8,34.77
34.81,34.78
34.8,34.77
34.8,34.82
34.8,34.82
34.79,34.8
34.8,34.82
34.8,34.82
34.81,34.78
34.82,34.8
34.81,34.8
34.8,34.78
34.78,34.81
34.81,34.77
34.82,34.77
34.82,34.77
34.77,34.8
34.78,34.8
34.8,34.88
34.8,34.81
34.8,34.88
34.81,34.88
34.81,34.88
34.8,34.81
34.81,34.88
34.81,34.88
34.81,34.88
34.91,34.93
34.93,34.96
34.93,34.96
34.96,34.945
34.945,34.93
34.95,34.94
34.95,34.93
34.95,34.93
34.94,34.91
34.935,34.91
34.93,34.91
34.91,34.87
34.87,34.89
34.89,34.86
